Fecha,Destino,All_aboard,Cantidad de Fallecidos,Operador,Ac_type,passenger_fatalities,crew_fatalities
1931-09-15,"Near Craiova, Oltenia, Romania",6,6,CIDNA,Fokker F-VIIb-3m,4,2
1931-09-16,"Oakland, California",4,4,Pacific Air Transport,Boeing 40,3,1
1931-10-06,"Novia Scotia, Canada",3,3,Deutsche Lufthansa,Heinkel HE-2,0,3
1931-10-14,Brazil,3,3,Syndicato Condor,Dornier Wal,0,3
1931-11-05,"Camden, New Jersey",5,5,"NY, Phil., Washington AW",Lockheed Orion 9,4,1
1931-11-13,"Sir Lowry's pass, South Africa",3,3,Union Airways,De Havilland DH.80,2,1
1931-11-23,"Salt Lake City, Utah",1,1,Boeing Air Transport,Boeing 40,0,1
1931-11-24,"Near Tsinan, China",3,3,China National Aviation Corporation,Stinson,1,2
1931-11-26,"Pasco, Washington",1,1,Varney Air Lines,Boeing 40,0,1
1931-12-05,"Kewanee, Illinois",6,2,Braniff Airways,Lockheed Vega 5,2,0
1931-12-06,"Bangkok, Thailand",7,5,KLM Royal Dutch Airlines,Fokker F-VIIb-3M,2,3
1931-12-09,Off Algiers,2,2,Aeropostale,CAMS 56,0,2
1931-12-31,"Springfield, Ohio",5,4,American Airways,Fairchild Pilgrim 100A,4,0
1932-01-21,"Colvin Park, Ilinois",1,1,Northwest Airways,Stinson SM-2A,0,1
1932-01-29,"Lebec, California",8,8,Century Pacific Lines,Stinson SM-6000B,7,1
1932-02-01,"Off Miami, Florida",5,5,Bimini Airways,Fairchild,4,1
1932-02-02,"Rio Vista, California",2,1,Boeing Air Transport,Boeing 40,0,1
1932-02-02,"Marcellus, Michigan",1,1,Transamerican Airlines,Stearman C-3MB,0,1
1932-02-27,"Off Setiba, Brazil",3,3,Aeropostale,Latecoere 28,0,3
1932-03-08,"Saint Louis, Illinois",5,3,Century Air Lines,Stinson SM-6000B,0,3
1932-03-19,"Calimesa, California",7,7,American Airways,Fokker F-10A,5,2
1932-03-21,"Steubenville, Ohio",1,1,Trans Continental and Western Air,Northrop Alpha 3,0,1
1932-03-29,"Rutbah Wells, Iraq",3,3,Air Orient,Farman F-190,1,2
1932-03-31,"Bedford, Ohio",1,1,National Air Transport,Boeing 95,0,1
1932-04-21,"Fort Wayne, Indiana",1,1,Transamerica Airlines,Stearman C-3MB,0,1
1932-05-16,"Burbank, California",3,3,Pacific Air Transport,Boeing 40,2,1
1932-05-30,"Portland, Oregon",2,1,Varney Air Lines,Boeing 40,0,1
1932-07-16,"Mount El Plomo, near Vitacura, Chile",9,9,Panagra,Ford 5-AT-C Tri Motor,6,3
1932-08-12,"Beyrouth, Lebanon",7,0,Air Orient,CAMS 53,0,0
1932-08-31,"Tubergen, Germany",2,2,A B Aerotransport,Junkers G-23,0,2
1932-09-08,"Salt Flats, Texas",4,3,American Airways,Fokker F-10,1,2
1932-09-17,"Selsdon Park, England",2,1,Air Union,Liore-et-Olivier 213,0,1
1932-09-18,"Byron Bay, Australia",3,3,New England Airways,De Havilland DH-80,2,1
1932-10-12,"Port Etienne, Mauritania",1,1,Aeropostale,Latecoere 28,0,1
1932-10-26,"Villa Monte, Bolivia",2,2,Lloyd Aero Boliviano,Ford Tri-motor 5,0,2
1932-10-29,"Ramsgate, England",2,2,Deutsche Lufthansa,Junkers W-33,0,2
1932-11-02,"Echterpfuhl, Germany",5,5,Deutsche Lufthansa,Junkers F-13,3,2
1932-11-25,"Marianna, Arkansas",2,2,Hunter Airways,Travel Air 6000,1,1
1932-12-14,"Amarillo, Texas",2,2,Trans Continental and Western Air,Ford 5,0,2
1932-12-14,"Rocky Ridge, Colorado",1,1,Boeing Air Transport,Boeing 40,0,1
1932-12-26,"Wau, Australia",1,1,Guinea Airways,De Havilland DH-60,0,1
1933-01-10,Algiers,3,1,Aeropostale,CAMS 53,0,1
1933-01-14,"Newark, New Jersey",2,2,Eastern Air Transport,Curtiss Condor 18,0,2
1933-01-20,"Marietta, Georgia",1,1,American Airways,Stearman 4,0,1
1933-01-20,"Bourne, Texas",1,1,American Airways,Stearman 4,0,1
1933-01-24,"Eugene, Oregon",3,2,Pacific Air Transport,Ford 5-AT-D,0,2
1933-03-11,"Near Mendoza, Argentina",2,2,Pan American Grace Airways,Fairchild FC-2W,0,2
1933-03-25,"Hayward, California",3,3,Varney Airlines,Lockheed Orion 9,2,1
1933-03-28,"Near Dixmude, Belgium",15,15,Imperial Airways,Armstrong Whitworth Argosy II,12,3
1933-04-03,"Hemkenrode, Germany",2,1,Deutsche Lufthansa,Junkers F-13,1,0
1933-04-23,"Near Castrovillari, Calabria, Italy",8,5,Air Orient,Cams 53-1,2,3
1933-04-29,"Traunstein, Germany",4,4,Eurasia,Junkers W-34,2,2
1933-05-09,"Near Viladrau, Spain",6,6,Aeropostale - La Tecoere Company,Latecoere 28-1,3,3
1933-06-04,"Bowling Green, Virginia",1,1,Eastern Air Transport,Pitcairns PA-6,0,1
1933-06-11,"Glenview, Illinois",9,9,Palwaukee,Sikorsky S-38B (flying boat),7,2
